Iteration,Time Stamp (sec),Hot Temperature (Cel),Cold Temperature (Cel)
113,226.0,27.695264925935913,21.317296994716475
114,228.0,27.660789423604996,21.25341216240585
115,230.0,27.62615495192284,21.189673581898372
116,232.0,27.59136316073352,21.12607973533748
117,234.0,27.556415682758402,21.06262912061952
118,236.0,27.521314133773867,20.999320251230223
119,238.0,27.486060112787147,20.936151656082938
120,240.0,27.450655202210367,20.873121879358507
121,242.0,27.41510096803279,20.810229480346813
122,244.0,27.379398959991242,20.747473033289968
123,246.0,27.3435507117388,20.684851127227144
124,248.0,27.30755774101171,20.622362365841003
125,250.0,27.27142154979457,20.560005367305703
126,252.0,27.23514362448382,20.497778764136527
127,254.0,27.198725436049507,20.435681203041025
128,256.0,27.162168440195405,20.373711344771728
129,258.0,27.125474077517435,20.311867863980392
130,260.0,27.08864377366048,20.250149449073724
131,262.0,27.051678939473522,20.18855480207066
132,264.0,27.014580971163237,20.127082638461058
133,266.0,26.977351250445928,20.065731687065913
134,268.0,26.93999114469793,20.004500689899004
135,270.0,26.902502007104424,19.943388402029964
136,272.0,26.864885176806723,19.882393591448782
137,274.0,26.827141979048033,19.82151503893171
138,276.0,26.789273725317674,19.760751537908575
139,278.0,26.751281713493842,19.700101894331436
140,280.0,26.713167227984858,19.63956492654464
141,282.0,26.674931539868968,19.579139465156196
142,284.0,26.636575907032682,19.518824352910514
143,286.0,26.598101574307695,19.458618444562433
